Aamir_Khan Kiran_Rao
Gillian_Anderson Clyde_Klotz
Ginger_Rogers Lew_Ayres
Gloria_Swanson Wallace_Beery
Goddard_Lieberson Vera_Zorina
Gordon_MacRae Sheila_MacRae
Gu_Changwei Jiang_Wenli
Gurinder_Chadha Paul_Mayeda_Berges
Gurmant_Grewal Nina_Grewal
Guthrie_McClintic Katharine_Cornell
Guy_Ritchie Jacqui_Ainsley
Harold_Pinter Antonia_Fraser
Harry_Houdini Bess_Houdini
Hayrünnisa_Gül Abdullah_Gül
Heidi_Montag Spencer_Pratt
Henry_Kravis Carolyne_Roehm
Hosni_Mubarak Suzanne_Mubarak
Hu_Jintao Liu_Yongqing
Hunter_Tylo Michael_Tylo
Husain_Haqqani Farahnaz_Ispahani
Iajuddin_Ahmed Anwara_Begum
Ian_Holm Penelope_Wilton
Ibrahim_Babangida Maryam_Babangida
Indira_Gandhi Feroze_Gandhi
Irving_Abella Rosalie_Abella
Iryna_Khalip Andrei_Sannikov
Izzie_Stevens Alex_Karev
Jacki_Weaver Derryn_Hinch
Jackie_Coogan Betty_Grable
Jacob_Weisberg Deborah_Needleman
Jacques_Chirac Bernadette_Chirac
Jahangir Nur_Jahan
James_Carville Mary_Matalin
Jane_Harman Sidney_Harman
Jared_Kushner Ivanka_Trump
Jason_O'Mara Paige_Turco
Javed_Akhtar Honey_Irani
Javier_Bardem Penélope_Cruz
Jay_Leno Mavis_Leno
Jaya_Bachchan Amitabh_Bachchan
Jean_de_Brunhoff Cecile_de_Brunhoff
Jeannette_Kagame Paul_Kagame
Jeff_Gordon Ingrid_Vandebosch
Jenji_Kohan Christopher_Noxon
Jennet_Conant Steve_Kroft
Jennifer_Aniston Justin_Theroux
Jennifer_Connelly Paul_Bettany
Jenny_Lumet Bobby_Cannavale
Jeri_Kehn_Thompson Fred_Thompson
Jerry_Seinfeld Jessica_Seinfeld
Jessica_Biel Justin_Timberlake
Jessica_Jackley Reza_Aslan
Jessica_Tandy Hume_Cronyn
Jetsun_Pema Jigme_Khesar_Namgyel_Wangchuck
Jim_Halpert Pam_Beesly
Jim_Sillars Margo_MacDonald
Jimmy_Carter Rosalynn_Carter
Jin_Yan Qin_Yi
Jinkee_Pacquiao Manny_Pacquiao
Joan_Crawford Franchot_Tone
Joan_Sutherland Richard_Bonynge
Joanne_Peh Qi_Yuwu
John_Cassavetes Gena_Rowlands
John_Humphrys Valerie_Sanderson
Joseph_Goebbels Magda_Goebbels
José_María_Aznar Ana_Botella
Jude_Law Sadie_Frost
Judith_Viorst Milton_Viorst
Julia_Roberts Daniel_Moder
Julius_Genachowski Martha_Raddatz
Justine_Thornton Ed_Miliband
Kabir_Bedi Protima_Bedi
Kalki_Koechlin Anurag_Kashyap
Karan_Mehra Nisha_Rawal
Kate_Capshaw Steven_Spielberg
Kate_Gosselin Jon_Gosselin
Kate_Winslet Jim_Threapleton
Kate_Winslet Sam_Mendes
Katy_Jurado Ernest_Borgnine
Ken_Dychtwald Maddy_Dychtwald
Ken_Follett Barbara_Follett
Kevin_Bacon Kyra_Sedgwick
Kevin_Nealon Susan_Yeagley
Khal_Drogo Daenerys_Targaryen
Kid_Rock Pamela_Anderson
Kimberly_Guilfoyle Eric_Villency
Kirron_Kher Anupam_Kher
Korina_Sanchez Mar_Roxas
Krishnan_Ganesh Meena_Ganesh
Kunal_Khemu Soha_Ali_Khan
Laura_Ziskin Alvin_Sargent
Lauren_Bacall Jason_Robards
Laurence_Luckinbill Lucie_Arnaz
Lee_Hsien_Loong Ho_Ching
Lee_Kuan_Yew Kwa_Geok_Choo
Leila_McKinnon David_Gyngell
Len_Wiseman Kate_Beckinsale
Lena_Horne Lennie_Hayton
Leonard_Hofstadter Penny
Leslie_Manigat Mirlande_Manigat
Leslie_Mann Judd_Apatow
Levy_Mwanawasa Maureen_Mwanawasa
Lily_Safra Edmond_Safra
Lindy_Boggs Hale_Boggs
LisaRaye_McCoy Michael_Misick
Liza_Featherstone Doug_Henwood
Lola_Van_Wagenen Robert_Redford
Luba_Mason Rubén_Blades
Mahmood_Mamdani Mira_Nair
Majel_Barrett Gene_Roddenberry
Manav_Gohil Shweta_Kawatra
Mandira_Bedi Raj_Kaushal
Manmohan_Singh Gursharan_Kaur
Mao_Zedong Jiang_Qing
Marcus_Mumford Carey_Mulligan
Marg_Helgenberger Alan_Rosenberg
Margaret_Sullavan William_Wyler
Marian_Seldes Garson_Kanin
Mariane_Pearl Daniel_Pearl
Marilu_Henner Frederic_Forrest
Mark_Consuelos Kelly_Ripa
Mark_Neveldine Alison_Lohman
Mark_Sanford Jenny_Sanford
Marlo_Thomas Phil_Donahue
Marlon_Brando Anna_Kashfi
Marta_Domingo Plácido_Domingo
Martha_Raddatz Tom_Gjelten
Martha_Schrader Kurt_Schrader
Maryam_Abacha Sani_Abacha
Massoud_Rajavi Maryam_Rajavi
Mata_Sundari Guru_Gobind_Singh
Mayank_Anand Shraddha_Nigam
Meena_Kumari Kamal_Amrohi
Meera_Syal Sanjeev_Bhaskar
Megan_Ambuhl Charles_Graner
Megan_Mullally Nick_Offerman
Mel_Carnahan Jean_Carnahan
Melanie_Lynskey Jimmi_Simpson
Meles_Zenawi Azeb_Mesfin
Mick_Jagger Bianca_Jagger
Mike_Ilitch Marian_Ilitch
Mini_Mathur Kabir_Khan
Minnie_Mortimer Stephen_Gaghan
Missy_Peregrym Zachary_Levi
Miyuki_Hatoyama Yukio_Hatoyama
Mohan_Sharma Lakshmi
Moira_Shearer Ludovic_Kennedy
Molly_Ringwald Panio_Gianopoulos
Mona_Zaki Ahmed_Helmy
Monica_Bellucci Vincent_Cassel
Moses Zipporah
Muzaffar_Ali Subhashini_Ali
Nancy_Tellem Arn_Tellem
Nansun_Shi Tsui_Hark
Naomi_Foner_Gyllenhaal Eric_Foner
Naseeruddin_Shah Ratna_Pathak
Nasira_Iqbal Javed_Iqbal
Natasha_Henstridge Damian_Chapa
Natasha_Richardson Liam_Neeson
Neal_Conan Liane_Hansen
Neetu_Singh Rishi_Kapoor
Nelson_Mandela Graça_Machel
Nelson_Mandela Evelyn_Mase
Niamh_Cusack Finbar_Lynch
Nicholas_Winterton Ann_Winterton
Nick_Raynsford Alison_Seabeck
Nik_Richie Shayne_Lamas
Nino_Burjanadze Badri_Bitsadze
Nirmala_Sitharaman Parakala_Prabhakar
Nirosha Ramki
Nora_Ephron Nicholas_Pileggi
Norman_Podhoretz Midge_Decter
Nusrat_Bhutto Zulfikar_Ali_Bhutto
Odette_Annable Dave_Annable
Oliver_Dimsdale Zoe_Tapper
Olivia_Chow Jack_Layton
Ollanta_Humala Nadine_Heredia
Olusegun_Obasanjo Stella_Obasanjo
Olympia_Dukakis Louis_Zorich
Orlando_Bloom Miranda_Kerr
Pallavi_Joshi Vivek_Agnihotri
Pamela_Anderson Rick_Salomon
Pankaj_Kapur Supriya_Pathak
Pascale_Ehrenfreund Bernard_Foing
Patrizio_Bertelli Miuccia_Prada
Peter_Sarsgaard Maggie_Gyllenhaal
Peter_Sellers Britt_Ekland
Phil_Bredesen Andrea_Conte
Pierre_Trudeau Margaret_Trudeau
Pol_Pot Khieu_Ponnary
Porfirio_Rubirosa Danielle_Darrieux
Prakash_Karat Brinda_Karat
Pratibha_Singh Virbhadra_Singh
Princess_Jasmine Aladdin
Priyanka_Gandhi Robert_Vadra
Radhia_Nasraoui Hamma_Hammami
Raghu_Ram Sugandha_Garg
Raj_Babbar Nadira_Babbar
Raj_Babbar Smita_Patil
Raja_Chaudhary Shweta_Tiwari
Rajesh_Khanna Dimple_Kapadia
Rajesh_Khattar Neelima_Azeem
Rajeshwari_Sachdev Varun_Badola
Rajiv_Gandhi Sonia_Gandhi
Ramarajan Nalini
Ramesh_Sippy Kiran_Juneja
Rande_Gerber Cindy_Crawford
Raul_Roco Sonia_Roco
Rebecca_Kleefisch Joel_Kleefisch
Reese_Witherspoon Ryan_Phillippe
Rena_Sofer Sanford_Bookstaver
Rena_Sofer Wally_Kurth
Renu_Desai Pawan_Kalyan
Renuka_Shahane Ashutosh_Rana
Richard_Leakey Meave_Leakey
Richard_Roxburgh Silvia_Colloca
Richie_Aprile Janice_Soprano
Rip_Torn Ann_Wedgeworth
Roald_Dahl Patricia_Neal
Roland_Petit Zizi_Jeanmaire
Ronald_Reagan Jane_Wyman
Rosario_Murillo Daniel_Ortega
Rosmah_Mansor Najib_Razak
Rove_McManus Tasma_Walton
Ruth_Madoc Philip_Madoc
Sadie_Coles Juergen_Teller
Saif_Ali_Khan Amrita_Singh
Saira_Banu Dilip_Kumar
Salman_Rushdie Padma_Lakshmi
Samir_Soni Neelam_Kothari
Samuel_Bagenstos Margo_Schlanger
Sanjay_Dutt Richa_Sharma
Sanjay_Dutt Manyata_Dutt
Sara_Blakely Jesse_Itzler
Sara_Zaker Aly_Zaker
Satyavati Shantanu
Scarlett_O'Hara Rhett_Butler
Scott_Weinger Rina_Mimoun
Sean_Connery Diane_Cilento
Sean_Penn Madonna
Selvaraghavan Sonia_Agarwal
Sergey_Brin Anne_Wojcicki
Serkalem_Fasil Eskinder_Nega
Shalani_Soledad Roman_Romulo
Shehbaz_Sharif Tehmina_Durrani
Shekhar_Kapur Suchitra_Krishnamoorthi
Shoba Balu_Mahendra
Simone_Gbagbo Laurent_Gbagbo
Simone_Signoret Yves_Montand
Sirikit Bhumibol_Adulyadej
Solomon_Mujuru Joice_Mujuru
Sophia_Loren Carlo_Ponti
Spike_Jonze Sofia_Coppola
Stanley_Donen Yvette_Mimieux
Stephanie_Herseth_Sandlin Max_Sandlin
Stephen_Harper Laureen_Harper
Steve_McQueen Ali_MacGraw
Steve_McQueen Neile_Adams
Suchitra Karthik_Kumar
Sunanda_Pushkar Shashi_Tharoor
Sunil_Dutt Nargis
Sunny_Mabrey Ethan_Embry
Susanne_Lothar Ulrich_Mühe
Sushmita_Mukherjee Raja_Bundela
Talisa_Soto Costas_Mandylor
Taylor_Hackford Helen_Mirren
Terry_Kinney Kathryn_Erbe
Thalía Tommy_Mottola
Tim_Kaine Anne_Holton
Tim_Russert Maureen_Orth
Tina_Knowles Mathew_Knowles
Tom_Cruise Mimi_Rogers
Tracey_Ullman Allan_McKeown
Travis_Schuldt Natalie_Zea
Téa_Leoni David_Duchovny
Uma_Thurman Gary_Oldman
Ursula_von_Rydingsvard Paul_Greengard
Uta_Hagen Herbert_Berghof
Val_Kilmer Joanne_Whalley
Valmik_Thapar Sanjana_Kapoor
Vanessa_Marcil Corey_Feldman
Veronique_Peck Gregory_Peck
Vicky_Pryce Chris_Huhne
Viktor_Yushchenko Kateryna_Yushchenko
Vince_McMahon Linda_McMahon
Vincent_Schiavelli Allyce_Beasley
Vipul_Amrutlal_Shah Shefali_Shah
Virginia_Woolf Leonard_Woolf
Vittorio_Gassman Shelley_Winters
Viveca_Lindfors George_Tabori
Vladimir_Putin Lyudmila_Putina
Vonetta_McGee Carl_Lumbly
Walter_Annenberg Leonore_Annenberg
Walter_Paepcke Elizabeth_Paepcke
Wan_Azizah_Wan_Ismail Anwar_Ibrahim
Warren_Beatty Annette_Bening
Wendie_Malick Mitch_Glazer
Will_Arnett Amy_Poehler
Will_Ferrell Viveca_Paulin
Will_Schuester Terri_Schuester
Wilma_Flintstone Fred_Flintstone
Wim_Wenders Ronee_Blakley
Yury_Luzhkov Yelena_Baturina
Zach_Gilford Kiele_Sanchez
Zarina_Wahab Aditya_Pancholi
Zosia_Mamet Evan_Jonigkeit
