Aamir_Khan Kiran_Rao
Carroll_Rosenbloom Georgia_Frontiere
Cat_Deeley Patrick_Kielty
Catherine_Keener Dermot_Mulroney
Cecilia_Cheung Nicholas_Tse
Celine_Dion René_Angélil
Channing_Tatum Jenna_Dewan
Charles_Saatchi Nigella_Lawson
Charlie_Chaplin Oona_O'Neill
Charlie_Chaplin Paulette_Goddard
Charlie_Sheen Brooke_Mueller
Charo Xavier_Cugat
Chaya_Singh Krishna
Cheddi_Jagan Janet_Jagan
Chen_Kaige Chen_Hong
Cher Gregg_Allman
Cheri_Daniels Mitch_Daniels
Cherie_Blair Tony_Blair
Chiara_Mastroianni Benjamin_Biolay
Chris_Diamantopoulos Becki_Newton
Chris_Hemsworth Elsa_Pataky
Christina_Applegate Johnathon_Schaech
Christina_Onassis Thierry_Roussel
Christine_Lahti Thomas_Schlamme
Christopher_Moltisanti Adriana_La_Cerva
Christopher_Plummer Tammy_Grimes
Christopher_Reeve Dana_Reeve
Christopher_Walken Georgianne_Walken
Chuck_Cadman Dona_Cadman
Chuck_Schumer Iris_Weinshall
Clair_Huxtable Cliff_Huxtable
Claire_Shipman Jay_Carney
Claude_Chabrol Stéphane_Audran
Claudia_Schiffer Matthew_Vaughn
Claudine_Barretto Raymart_Santiago
Cobie_Smulders Taran_Killam
Coen_brothers Frances_McDormand
Corin_Redgrave Kika_Markham
Corinne_Vigreux Harold_Goddijn
Courtney_Love Kurt_Cobain
Craig_Hatkoff Jane_Rosenthal
Crispin_Odey Nichola_Pease
DJ_Aqeel Farah_Khan_Ali
Dale_Bumpers Betty_Bumpers
Damayanti Nala
Dan_Quayle Marilyn_Quayle
Daniel_Barenboim Jacqueline_du_Pré
Daniel_Gerroll Patricia_Kalember
Daniel_Inouye Irene_Hirano
Daniel_Lapaine Fay_Ripley
Danish_Aslam Shruti_Seth
Dannii_Minogue Julian_McMahon
Danny_Burstein Rebecca_Luker
Danny_DeVito Rhea_Perlman
Danny_Elfman Bridget_Fonda
Danny_Huston Virginia_Madsen
Danny_Masterson Bijou_Phillips
